"product_name","date_received","date_sent","date_difference","days"
"Credit card","2014-02-26","2014-03-04",6,7
"Debt collection","2014-03-20","2014-03-20",0,1
"Debt collection","2014-03-20","2014-03-20",0,1
"Debt collection","2014-03-04","2014-03-04",0,1
"Credit reporting","2014-03-17","2014-03-17",0,1
"Debt collection","2014-03-12","2014-03-12",0,1
"Credit reporting","2014-03-20","2014-04-11",22,23
"Mortgage","2014-03-04","2014-03-03",-1,0
"Credit reporting","2014-03-12","2014-03-12",0,1
"Credit reporting","2014-02-26","2014-02-26",0,1
"Credit card","2014-02-26","2014-02-28",2,3
"Debt collection","2014-03-20","2014-03-26",6,7
"Mortgage","2014-03-20","2014-03-26",6,7
"Credit reporting","2014-03-17","2014-04-11",25,26
"Mortgage","2014-03-17","2014-03-17",0,1
"Bank account or service","2014-02-26","2014-02-26",0,1
"Mortgage","2014-02-26","2014-02-26",0,1
"Credit reporting","2014-03-20","2014-03-20",0,1
"Mortgage","2014-03-17","2014-03-17",0,1
"Student loan","2014-03-17","2014-03-17",0,1
"Mortgage","2014-03-04","2014-03-03",-1,0
"Mortgage","2014-03-04","2014-03-03",-1,0
"Mortgage","2014-03-12","2014-03-12",0,1
"Credit card","2014-02-26","2014-02-27",1,2
"Mortgage","2014-03-17","2014-03-20",3,4
"Debt collection","2014-03-04","2014-03-03",-1,0
"Mortgage","2014-03-17","2014-03-20",3,4
"Mortgage","2014-03-20","2014-03-27",7,8
"Mortgage","2014-03-20","2014-03-20",0,1
"Mortgage","2014-03-12","2014-03-14",2,3
"Debt collection","2014-02-26","2014-02-28",2,3
"Debt collection","2014-03-04","2014-03-04",0,1
"Credit card","2014-03-04","2014-03-04",0,1
"Mortgage","2014-03-04","2014-03-11",7,8
"Credit reporting","2014-03-17","2014-04-11",25,26
"Debt collection","2014-02-26","2014-02-27",1,2
"Debt collection","2014-03-17","2014-03-31",14,15
"Consumer Loan","2014-03-20","2014-03-27",7,8
"Credit reporting","2014-03-20","2014-03-20",0,1
"Mortgage","2014-03-20","2014-03-27",7,8
"Student loan","2014-03-04","2014-03-03",-1,0
"Credit reporting","2014-03-04","2014-03-03",-1,0
"Debt collection","2014-03-04","2014-03-04",0,1
"Credit reporting","2014-03-04","2014-03-03",-1,0
"Mortgage","2014-02-26","2014-03-04",6,7
"Credit reporting","2014-02-26","2014-02-28",2,3
"Payday loan","2014-03-04","2014-03-04",0,1
"Debt collection","2014-03-04","2014-03-03",-1,0
"Credit card","2014-03-04","2014-03-04",0,1
"Mortgage","2014-03-17","2014-03-20",3,4
"Bank account or service","2014-03-20","2014-03-27",7,8
"Student loan","2014-03-04","2014-03-04",0,1
"Mortgage","2014-03-04","2014-03-04",0,1
"Mortgage","2014-02-26","2014-03-04",6,7
"Payday loan","2014-03-12","2014-03-12",0,1
"Debt collection","2014-03-20","2014-03-27",7,8
"Credit reporting","2014-03-17","2014-03-20",3,4
"Debt collection","2014-03-04","2014-03-26",22,23
"Debt collection","2014-03-04","2014-03-04",0,1
"Debt collection","2014-03-12","2014-03-14",2,3
"Debt collection","2014-03-20","2014-03-20",0,1
"Credit reporting","2014-02-26","2014-02-26",0,1
"Credit reporting","2014-03-20","2014-03-20",0,1
"Debt collection","2014-03-04","2014-03-04",0,1
"Consumer Loan","2014-03-20","2014-03-31",11,12
"Credit reporting","2014-02-26","2014-02-26",0,1
"Bank account or service","2014-03-12","2014-03-14",2,3
"Credit reporting","2014-02-26","2014-03-12",14,15
"Mortgage","2014-03-04","2014-03-04",0,1
"Mortgage","2014-03-12","2014-03-12",0,1
"Mortgage","2014-02-26","2014-02-26",0,1
"Mortgage","2014-03-04","2014-03-14",10,11
"Mortgage","2014-03-20","2014-03-27",7,8
"Consumer Loan","2014-03-12","2014-03-14",2,3
"Bank account or service","2014-03-04","2014-03-04",0,1
"Mortgage","2014-02-26","2014-02-26",0,1
"Credit card","2014-03-20","2014-03-27",7,8
"Bank account or service","2014-03-20","2014-03-27",7,8
"Student loan","2014-03-17","2014-03-17",0,1
"Debt collection","2014-03-17","2014-04-01",15,16
"Bank account or service","2014-03-04","2014-03-04",0,1
"Debt collection","2014-03-04","2014-03-04",0,1
"Bank account or service","2014-03-20","2014-03-27",7,8
"Money transfers","2014-03-12","2014-03-14",2,3
"Credit card","2014-02-26","2014-03-04",6,7
"Mortgage","2014-03-20","2014-03-20",0,1
"Credit reporting","2014-03-20","2014-03-20",0,1
"Bank account or service","2014-03-20","2014-03-31",11,12
"Debt collection","2014-03-20","2014-03-27",7,8
"Mortgage","2014-03-12","2014-03-14",2,3
"Mortgage","2014-03-17","2014-03-20",3,4
"Mortgage","2014-03-17","2014-03-20",3,4
"Bank account or service","2014-03-20","2014-03-27",7,8
"Debt collection","2014-03-12","2014-03-13",1,2
"Debt collection","2014-03-20","2014-03-27",7,8
"Mortgage","2014-03-20","2014-03-20",0,1
"Mortgage","2014-03-17","2014-03-20",3,4
"Debt collection","2014-03-20","2014-03-21",1,2
"Mortgage","2014-02-26","2014-02-27",1,2
"Debt collection","2014-03-04","2014-03-06",2,3
"Bank account or service","2014-03-20","2014-03-27",7,8
"Consumer Loan","2014-03-04","2014-03-04",0,1
"Debt collection","2014-02-26","2014-02-26",0,1
"Bank account or service","2014-02-26","2014-02-27",1,2
"Student loan","2014-02-26","2014-02-28",2,3
"Credit card","2014-02-26","2014-02-26",0,1
"Bank account or service","2014-03-12","2014-03-12",0,1
"Debt collection","2014-03-04","2014-03-04",0,1
"Mortgage","2014-03-12","2014-03-14",2,3
"Mortgage","2014-03-17","2014-03-20",3,4
"Mortgage","2014-03-04","2014-03-06",2,3
"Mortgage","2014-03-20","2014-03-20",0,1
"Mortgage","2014-03-04","2014-03-06",2,3
"Debt collection","2014-03-20","2014-03-20",0,1
"Debt collection","2014-02-26","2014-02-28",2,3
"Mortgage","2014-02-26","2014-02-28",2,3
"Debt collection","2014-03-17","2014-03-17",0,1
"Mortgage","2014-03-12","2014-03-18",6,7
"Credit reporting","2014-03-12","2014-03-12",0,1
"Student loan","2014-02-26","2014-02-28",2,3
"Mortgage","2014-03-17","2014-03-17",0,1
"Debt collection","2014-03-20","2014-03-27",7,8
"Bank account or service","2014-03-04","2014-03-06",2,3
"Bank account or service","2014-03-17","2014-03-17",0,1
"Mortgage","2014-03-04","2014-03-04",0,1
"Credit reporting","2014-03-12","2014-03-12",0,1
"Credit reporting","2014-03-17","2014-03-17",0,1
"Mortgage","2014-02-27","2014-02-28",1,2
"Debt collection","2014-03-20","2014-03-20",0,1
"Mortgage","2014-03-12","2014-03-13",1,2
"Debt collection","2014-03-20","2014-03-27",7,8
"Mortgage","2014-03-04","2014-03-06",2,3
"Debt collection","2014-03-12","2014-03-14",2,3
"Mortgage","2014-03-20","2014-03-27",7,8
"Credit reporting","2014-03-12","2014-03-13",1,2
"Debt collection","2014-02-27","2014-02-26",-1,0
"Debt collection","2014-03-04","2014-03-04",0,1
"Debt collection","2014-03-04","2014-04-21",48,49
"Mortgage","2014-03-12","2014-03-12",0,1
"Credit reporting","2014-03-17","2014-03-17",0,1
"Mortgage","2014-03-20","2014-03-20",0,1
"Mortgage","2014-03-04","2014-03-07",3,4
"Debt collection","2014-03-12","2014-03-12",0,1
"Mortgage","2014-03-17","2014-03-17",0,1
"Debt collection","2014-02-27","2014-02-26",-1,0
"Mortgage","2014-03-04","2014-03-11",7,8
"Mortgage","2014-03-04","2014-03-05",1,2
"Mortgage","2014-02-27","2014-02-26",-1,0
"Mortgage","2014-02-27","2014-02-26",-1,0
"Bank account or service","2014-03-17","2014-03-20",3,4
"Mortgage","2014-03-04","2014-03-07",3,4
"Debt collection","2014-02-27","2014-02-26",-1,0
"Mortgage","2014-03-17","2014-03-20",3,4
"Credit card","2014-03-12","2014-03-14",2,3
"Mortgage","2014-03-12","2014-03-12",0,1
"Mortgage","2014-03-17","2014-03-17",0,1
"Debt collection","2014-03-20","2014-03-21",1,2
"Debt collection","2014-02-27","2014-02-28",1,2
"Mortgage","2014-02-27","2014-02-27",0,1
"Mortgage","2014-03-12","2014-03-14",2,3
"Bank account or service","2014-03-04","2014-03-06",2,3
"Mortgage","2014-03-20","2014-03-20",0,1
"Credit reporting","2014-03-17","2014-03-17",0,1
"Mortgage","2014-02-27","2014-02-28",1,2
"Debt collection","2014-03-20","2014-03-21",1,2
"Bank account or service","2014-02-27","2014-03-05",6,7
"Credit card","2014-02-27","2014-02-26",-1,0
"Credit reporting","2014-02-27","2014-02-26",-1,0
"Bank account or service","2014-03-04","2014-03-10",6,7
"Mortgage","2014-03-12","2014-03-12",0,1
"Debt collection","2014-02-27","2014-02-27",0,1
"Debt collection","2014-02-27","2014-02-26",-1,0
"Mortgage","2014-03-17","2014-03-17",0,1
"Credit reporting","2014-02-27","2014-02-27",0,1
"Credit reporting","2014-03-20","2014-03-20",0,1
"Student loan","2014-03-12","2014-03-12",0,1
"Debt collection","2014-02-27","2014-02-27",0,1
"Credit reporting","2014-02-27","2014-02-26",-1,0
"Credit reporting","2014-02-27","2014-02-26",-1,0
"Debt collection","2014-03-20","2014-03-28",8,9
"Debt collection","2014-03-20","2014-03-28",8,9
"Mortgage","2014-03-04","2014-03-04",0,1
"Mortgage","2014-03-04","2014-03-11",7,8
"Credit reporting","2014-03-20","2014-03-25",5,6
"Debt collection","2014-02-27","2014-02-26",-1,0
"Mortgage","2014-02-27","2014-02-26",-1,0
"Credit card","2014-03-12","2014-03-14",2,3
"Debt collection","2014-02-27","2014-03-03",4,5
"Debt collection","2014-03-17","2014-03-20",3,4
"Bank account or service","2014-03-12","2014-03-13",1,2
"Mortgage","2014-03-12","2014-03-14",2,3
"Debt collection","2014-03-20","2014-03-20",0,1
"Credit reporting","2014-03-04","2014-03-04",0,1
"Mortgage","2014-02-27","2014-02-28",1,2
"Debt collection","2014-02-27","2014-02-27",0,1
"Credit reporting","2014-03-20","2014-03-25",5,6
"Debt collection","2014-02-27","2014-04-08",40,41
"Mortgage","2014-03-12","2014-03-14",2,3
"Mortgage","2014-03-12","2014-03-14",2,3
"Mortgage","2014-02-27","2014-02-27",0,1
"Mortgage","2014-03-12","2014-03-14",2,3
"Mortgage","2014-03-12","2014-03-13",1,2
"Debt collection","2014-02-27","2014-02-27",0,1
"Debt collection","2014-03-20","2014-03-20",0,1
"Mortgage","2014-03-04","2014-03-06",2,3
"Bank account or service","2014-02-27","2014-02-27",0,1
"Debt collection","2014-03-17","2014-03-20",3,4
"Mortgage","2014-02-27","2014-02-27",0,1
"Credit reporting","2014-03-17","2014-03-20",3,4
"Consumer Loan","2014-02-27","2014-02-27",0,1
"Debt collection","2014-03-04","2014-03-07",3,4
"Mortgage","2014-03-12","2014-03-12",0,1
"Bank account or service","2014-03-17","2014-03-17",0,1
"Debt collection","2014-03-12","2014-03-14",2,3
"Mortgage","2014-03-17","2014-03-17",0,1
"Mortgage","2014-03-20","2014-03-20",0,1
"Credit reporting","2014-03-04","2014-03-04",0,1
"Mortgage","2014-03-17","2014-03-17",0,1
"Bank account or service","2014-02-27","2014-02-28",1,2
"Bank account or service","2014-03-21","2014-03-20",-1,0
"Mortgage","2014-03-04","2014-03-04",0,1
"Bank account or service","2014-02-27","2014-02-28",1,2
"Bank account or service","2014-02-27","2014-02-28",1,2
"Debt collection","2014-03-12","2014-03-12",0,1
"Mortgage","2014-03-21","2014-03-20",-1,0
"Credit reporting","2014-03-21","2014-03-20",-1,0
"Debt collection","2014-03-12","2014-03-14",2,3
"Mortgage","2014-02-27","2014-03-04",5,6
"Bank account or service","2014-03-21","2014-03-20",-1,0
"Mortgage","2014-02-27","2014-02-28",1,2
"Credit card","2014-02-27","2014-02-27",0,1
"Mortgage","2014-03-04","2014-03-04",0,1
"Debt collection","2014-03-21","2014-03-20",-1,0
"Mortgage","2014-03-21","2014-03-20",-1,0
"Debt collection","2014-03-21","2014-03-27",6,7
"Bank account or service","2014-02-27","2014-02-28",1,2
"Debt collection","2014-03-21","2014-03-25",4,5
"Mortgage","2014-03-12","2014-03-12",0,1
"Debt collection","2014-02-27","2014-02-28",1,2
"Credit card","2015-01-08","2015-01-12",4,5
"Mortgage","2014-03-12","2014-03-13",1,2
"Consumer Loan","2014-03-21","2014-03-20",-1,0
"Consumer Loan","2014-02-27","2014-03-04",5,6
"Credit card","2014-03-17","2014-03-20",3,4
"Bank account or service","2014-02-27","2014-03-04",5,6
"Credit card","2014-02-27","2014-02-28",1,2
"Bank account or service","2014-02-27","2014-02-28",1,2
"Credit reporting","2014-03-17","2014-03-17",0,1
"Mortgage","2014-03-17","2014-03-20",3,4
"Bank account or service","2014-03-21","2014-03-27",6,7
"Credit reporting","2014-03-04","2014-03-21",17,18
"Debt collection","2014-03-12","2014-03-13",1,2
"Credit reporting","2014-03-21","2014-03-28",7,8
"Credit reporting","2014-03-04","2014-03-04",0,1
"Bank account or service","2014-03-21","2014-03-20",-1,0
"Debt collection","2014-03-21","2014-03-25",4,5
"Bank account or service","2014-03-17","2014-03-17",0,1
"Mortgage","2014-02-27","2014-03-04",5,6
"Payday loan","2014-03-12","2014-03-12",0,1
"Student loan","2014-02-27","2014-02-27",0,1
"Bank account or service","2014-02-27","2014-02-28",1,2
"Mortgage","2014-03-21","2014-03-21",0,1
"Student loan","2014-03-04","2014-04-10",37,38
"Debt collection","2014-03-21","2014-03-21",0,1
"Debt collection","2014-03-17","2014-03-20",3,4
"Credit card","2014-03-17","2014-03-17",0,1
"Credit reporting","2014-02-27","2014-03-05",6,7
"Credit reporting","2014-02-27","2014-03-04",5,6
"Credit reporting","2014-02-27","2014-03-04",5,6
"Credit card","2014-03-12","2014-03-14",2,3
"Bank account or service","2014-03-17","2014-03-17",0,1
"Credit reporting","2014-03-21","2014-03-21",0,1
"Credit reporting","2014-03-21","2014-03-21",0,1
"Mortgage","2014-03-12","2014-03-19",7,8
"Student loan","2014-03-12","2014-03-12",0,1
"Debt collection","2014-03-21","2014-03-21",0,1
"Credit reporting","2014-03-21","2014-03-25",4,5
"Debt collection","2014-03-21","2014-04-18",28,29
"Bank account or service","2014-03-12","2014-03-12",0,1
"Credit reporting","2014-03-31","2014-03-30",-1,0
"Debt collection","2014-03-21","2014-03-27",6,7
"Credit reporting","2014-02-27","2014-04-10",42,43
"Mortgage","2014-03-21","2014-03-21",0,1
"Credit card","2014-03-06","2014-03-21",15,16
"Debt collection","2014-03-21","2014-03-27",6,7
"Debt collection","2014-03-04","2014-05-02",59,60
"Credit reporting","2014-03-06","2014-04-15",40,41
"Credit card","2014-02-27","2014-02-27",0,1
"Student loan","2014-03-06","2014-03-06",0,1
"Credit reporting","2014-03-21","2014-04-03",13,14
"Mortgage","2014-03-06","2014-03-06",0,1
"Mortgage","2014-02-27","2014-02-27",0,1
"Credit reporting","2014-03-12","2014-03-12",0,1
"Student loan","2014-03-06","2014-03-06",0,1
"Bank account or service","2014-02-27","2014-02-27",0,1
"Mortgage","2014-03-04","2014-03-12",8,9
"Debt collection","2014-03-06","2014-03-07",1,2
"Mortgage","2014-02-27","2014-03-04",5,6
"Mortgage","2014-03-17","2014-03-20",3,4
"Mortgage","2014-03-04","2014-03-07",3,4
"Debt collection","2014-03-06","2014-03-06",0,1
"Consumer Loan","2014-02-27","2014-02-27",0,1
"Debt collection","2014-03-17","2014-03-17",0,1
"Debt collection","2014-02-27","2014-03-01",2,3
"Mortgage","2014-02-27","2014-03-03",4,5
"Consumer Loan","2014-02-27","2014-02-27",0,1
"Debt collection","2014-03-21","2014-03-27",6,7
"Credit reporting","2014-02-27","2014-03-04",5,6
"Mortgage","2014-03-17","2014-03-20",3,4
"Consumer Loan","2014-03-17","2014-03-17",0,1
"Mortgage","2014-03-04","2014-03-04",0,1
"Credit card","2014-03-04","2014-03-04",0,1
"Mortgage","2014-03-17","2014-03-17",0,1
"Mortgage","2014-02-27","2014-02-27",0,1
"Debt collection","2014-03-21","2014-03-27",6,7
"Student loan","2014-02-27","2014-02-27",0,1
"Debt collection","2014-03-21","2014-03-27",6,7
"Credit reporting","2014-03-17","2014-03-20",3,4
"Credit card","2014-03-17","2014-03-17",0,1
"Mortgage","2014-03-04","2014-03-11",7,8
"Credit reporting","2014-03-12","2014-03-12",0,1
"Debt collection","2014-03-12","2014-04-01",20,21
"Credit reporting","2014-03-17","2014-03-20",3,4
"Bank account or service","2014-03-21","2014-03-27",6,7
"Bank account or service","2014-03-12","2014-03-17",5,6
"Debt collection","2014-03-06","2014-03-29",23,24
"Debt collection","2014-03-06","2014-03-06",0,1
"Debt collection","2014-03-21","2014-03-21",0,1
"Debt collection","2014-02-27","2014-02-28",1,2
"Consumer Loan","2014-03-04","2014-03-07",3,4
"Debt collection","2014-03-06","2014-03-06",0,1
"Money transfers","2014-02-27","2014-02-27",0,1
"Mortgage","2014-03-06","2014-03-06",0,1
"Credit card","2014-03-21","2014-03-27",6,7
"Mortgage","2014-03-21","2014-03-27",6,7
"Credit reporting","2014-03-12","2014-03-12",0,1
"Bank account or service","2014-03-06","2014-03-06",0,1
"Credit reporting","2014-03-12","2014-03-13",1,2
"Mortgage","2014-02-27","2014-02-28",1,2
"Debt collection","2014-03-04","2014-04-01",28,29
"Credit reporting","2014-03-06","2014-03-07",1,2
"Consumer Loan","2014-03-12","2014-03-14",2,3
"Mortgage","2014-03-12","2014-03-17",5,6
"Mortgage","2014-03-21","2014-03-27",6,7
"Credit reporting","2014-02-27","2014-02-27",0,1
"Credit reporting","2014-02-27","2014-02-27",0,1
"Mortgage","2014-02-27","2014-02-27",0,1
"Mortgage","2014-03-04","2014-03-10",6,7
"Mortgage","2014-03-21","2014-03-21",0,1
"Debt collection","2014-02-27","2014-02-27",0,1
"Payday loan","2014-03-17","2014-03-17",0,1
"Debt collection","2014-03-17","2014-03-20",3,4
"Debt collection","2014-03-17","2014-03-17",0,1
"Debt collection","2014-03-17","2014-03-20",3,4
"Debt collection","2014-03-12","2014-03-17",5,6
"Credit reporting","2014-03-21","2014-03-21",0,1
"Mortgage","2014-03-12","2014-03-28",16,17
"Bank account or service","2014-03-06","2014-03-07",1,2
"Mortgage","2014-03-04","2014-03-04",0,1
"Credit card","2014-03-31","2014-03-30",-1,0
"Mortgage","2014-02-27","2014-03-04",5,6
"Mortgage","2014-02-27","2014-03-04",5,6
"Mortgage","2014-03-21","2014-03-27",6,7
"Credit reporting","2014-03-21","2014-03-25",4,5
"Credit card","2014-03-04","2014-03-26",22,23
"Credit card","2014-02-27","2014-02-27",0,1
"Debt collection","2014-03-17","2014-03-20",3,4
"Mortgage","2014-03-12","2014-03-13",1,2
"Consumer Loan","2014-02-27","2014-02-28",1,2
"Debt collection","2014-03-04","2014-03-06",2,3
"Mortgage","2014-03-04","2014-03-10",6,7
"Credit reporting","2014-03-06","2014-03-06",0,1
"Credit card","2014-03-04","2014-03-04",0,1
"Mortgage","2014-02-27","2014-03-04",5,6
"Debt collection","2014-03-21","2014-04-02",12,13
"Mortgage","2014-03-06","2014-03-06",0,1
"Mortgage","2014-03-06","2014-03-06",0,1
"Debt collection","2014-02-27","2014-02-28",1,2
"Credit reporting","2014-02-27","2014-02-27",0,1
"Credit reporting","2014-02-27","2014-02-28",1,2
"Credit reporting","2014-03-04","2014-03-04",0,1
"Debt collection","2014-03-17","2014-04-28",42,43
"Mortgage","2014-03-07","2014-03-10",3,4
"Mortgage","2014-03-04","2014-03-06",2,3
"Debt collection","2014-03-21","2014-03-27",6,7
"Mortgage","2014-03-17","2014-03-20",3,4
"Credit reporting","2014-03-04","2014-03-04",0,1
"Mortgage","2014-03-07","2014-03-10",3,4
"Credit reporting","2014-03-04","2014-03-04",0,1
"Payday loan","2014-03-17","2014-03-21",4,5
"Mortgage","2014-03-07","2014-03-10",3,4
"Credit reporting","2014-03-21","2014-04-03",13,14
"Mortgage","2014-03-12","2014-03-17",5,6
"Bank account or service","2014-03-17","2014-03-21",4,5
"Credit card","2014-03-07","2014-03-10",3,4
"Mortgage","2014-03-07","2014-03-10",3,4
"Mortgage","2014-02-27","2014-02-27",0,1
"Debt collection","2014-03-21","2014-03-21",0,1
"Credit card","2014-03-21","2014-03-27",6,7
"Mortgage","2014-03-07","2014-03-10",3,4
"Mortgage","2014-02-27","2014-03-05",6,7
"Debt collection","2014-03-21","2014-04-03",13,14
"Debt collection","2014-03-12","2014-03-14",2,3
"Mortgage","2014-03-07","2014-04-22",46,47
"Mortgage","2014-03-17","2014-03-17",0,1
"Mortgage","2014-03-04","2014-03-11",7,8
"Credit card","2014-02-27","2014-02-28",1,2
"Debt collection","2014-02-27","2014-02-27",0,1
"Credit reporting","2014-03-21","2014-03-25",4,5
"Debt collection","2014-02-27","2014-02-27",0,1
"Debt collection","2014-03-17","2014-03-20",3,4
"Debt collection","2014-03-21","2014-03-27",6,7
"Debt collection","2014-02-27","2014-03-06",7,8
"Debt collection","2014-03-21","2014-03-27",6,7
"Debt collection","2014-02-27","2014-02-28",1,2
"Consumer Loan","2014-03-07","2014-03-07",0,1
"Debt collection","2014-03-07","2014-03-24",17,18
"Debt collection","2014-02-27","2014-02-27",0,1
"Credit reporting","2014-03-07","2014-04-07",31,32
"Credit reporting","2014-03-07","2014-03-07",0,1
"Debt collection","2014-03-04","2014-03-04",0,1
"Mortgage","2014-02-27","2014-02-28",1,2
"Bank account or service","2014-03-07","2014-03-07",0,1
"Consumer Loan","2014-03-04","2014-03-04",0,1
"Debt collection","2014-03-21","2014-03-27",6,7
"Debt collection","2014-02-27","2014-02-27",0,1
"Debt collection","2014-03-31","2014-03-30",-1,0
"Mortgage","2014-03-07","2014-03-06",-1,0
"Bank account or service","2014-03-17","2014-03-17",0,1
"Credit reporting","2014-03-07","2014-03-21",14,15
"Mortgage","2014-03-12","2014-03-12",0,1
"Mortgage","2014-03-31","2014-03-31",0,1
"Debt collection","2014-03-07","2014-03-11",4,5
"Debt collection","2014-03-31","2014-03-31",0,1
"Mortgage","2014-03-21","2014-03-28",7,8
"Credit card","2014-03-04","2014-03-04",0,1
"Credit reporting","2014-03-12","2014-03-12",0,1
"Mortgage","2014-03-31","2014-03-30",-1,0
"Debt collection","2014-03-12","2014-03-12",0,1
"Debt collection","2014-02-27","2014-02-27",0,1
"Credit reporting","2014-03-17","2014-05-07",51,52
"Mortgage","2014-03-04","2014-03-07",3,4
"Mortgage","2014-03-25","2014-03-25",0,1
"Debt collection","2014-03-31","2014-05-02",32,33
"Debt collection","2014-03-07","2014-03-06",-1,0
"Debt collection","2014-02-27","2014-02-27",0,1
"Credit reporting","2014-03-12","2014-03-12",0,1
"Credit reporting","2014-03-12","2014-04-16",35,36
"Credit reporting","2014-03-31","2014-03-30",-1,0
"Credit reporting","2014-03-31","2014-03-30",-1,0
"Mortgage","2014-03-25","2014-03-25",0,1
"Credit reporting","2014-02-27","2014-02-27",0,1
"Credit reporting","2014-02-27","2014-02-27",0,1
"Bank account or service","2014-03-17","2014-03-17",0,1
"Credit reporting","2014-03-07","2014-03-10",3,4
"Student loan","2014-02-27","2014-02-27",0,1
"Mortgage","2014-03-12","2014-03-12",0,1
"Debt collection","2014-03-12","2014-03-14",2,3
"Mortgage","2014-03-07","2014-03-06",-1,0
"Debt collection","2014-03-17","2014-03-17",0,1
"Credit reporting","2014-02-27","2014-02-27",0,1
"Debt collection","2014-03-31","2014-04-03",3,4
"Mortgage","2014-03-12","2014-03-13",1,2
"Mortgage","2014-02-27","2014-02-27",0,1
"Credit reporting","2014-03-31","2014-03-31",0,1
"Mortgage","2014-03-07","2014-03-06",-1,0
"Credit card","2014-03-07","2014-03-07",0,1
"Debt collection","2014-02-27","2014-02-28",1,2
"Credit reporting","2014-03-21","2014-04-15",25,26
"Credit card","2014-03-12","2014-03-12",0,1
"Mortgage","2014-03-04","2014-03-04",0,1
"Bank account or service","2014-03-07","2014-03-06",-1,0
"Credit reporting","2014-03-07","2014-03-06",-1,0
"Credit reporting","2014-03-17","2014-03-17",0,1
"Mortgage","2014-03-17","2014-03-17",0,1
"Debt collection","2014-03-25","2014-03-25",0,1
"Mortgage","2014-03-04","2014-03-04",0,1
"Debt collection","2014-03-25","2014-03-25",0,1
"Bank account or service","2014-03-31","2014-04-03",3,4
"Credit reporting","2014-03-07","2014-03-25",18,19
"Debt collection","2014-03-31","2014-03-31",0,1
"Consumer Loan","2014-03-17","2014-03-21",4,5
"Mortgage","2014-03-17","2014-03-17",0,1
"Credit reporting","2014-03-07","2014-03-06",-1,0
"Credit reporting","2014-02-27","2014-02-27",0,1
"Bank account or service","2014-03-31","2014-04-03",3,4
"Bank account or service","2014-03-31","2014-04-03",3,4
"Money transfers","2014-03-07","2014-03-06",-1,0
"Credit reporting","2014-03-07","2014-03-06",-1,0
"Bank account or service","2014-03-17","2014-03-26",9,10
"Mortgage","2014-03-07","2014-03-06",-1,0
"Debt collection","2014-03-21","2014-03-21",0,1
"Mortgage","2014-03-04","2014-03-04",0,1
"Student loan","2014-03-04","2014-03-04",0,1
"Credit reporting","2014-03-21","2014-04-15",25,26
"Mortgage","2014-02-27","2014-02-27",0,1
"Mortgage","2014-02-27","2014-02-28",1,2
"Mortgage","2014-03-12","2014-03-14",2,3
"Debt collection","2014-03-21","2014-03-21",0,1
"Credit reporting","2014-03-25","2014-03-25",0,1
"Credit reporting","2014-03-25","2014-03-25",0,1
"Debt collection","2014-03-21","2014-03-28",7,8
"Credit card","2014-03-12","2014-03-18",6,7
"Credit card","2014-02-27","2014-02-28",1,2
"Mortgage","2014-03-07","2014-03-07",0,1
"Credit reporting","2014-03-17","2014-03-17",0,1
"Bank account or service","2014-02-27","2014-02-27",0,1
"Bank account or service","2014-02-27","2014-03-05",6,7
"Debt collection","2014-03-31","2014-04-03",3,4
"Debt collection","2014-03-21","2014-03-28",7,8
"Bank account or service","2014-03-31","2014-04-03",3,4
"Debt collection","2014-03-07","2014-03-06",-1,0
"Credit reporting","2014-03-12","2014-03-12",0,1
"Mortgage","2014-03-21","2014-03-28",7,8
"Mortgage","2014-02-27","2014-02-27",0,1
"Credit reporting","2014-03-25","2014-03-25",0,1
"Credit reporting","2014-03-12","2014-03-12",0,1
"Credit card","2014-03-25","2014-03-25",0,1
"Debt collection","2014-02-27","2014-02-27",0,1
"Student loan","2014-03-07","2014-03-06",-1,0
"Credit reporting","2014-03-07","2014-03-06",-1,0
"Debt collection","2014-03-31","2014-03-31",0,1
"Debt collection","2014-03-21","2014-03-28",7,8
"Debt collection","2014-03-21","2014-03-28",7,8
"Mortgage","2014-02-27","2014-02-28",1,2
"Debt collection","2014-03-04","2014-03-21",17,18
"Bank account or service","2014-03-17","2014-03-17",0,1
"Debt collection","2014-03-25","2014-03-25",0,1
"Bank account or service","2014-03-12","2014-03-12",0,1
"Bank account or service","2014-03-12","2014-04-23",42,43
"Credit reporting","2014-03-17","2014-03-17",0,1
"Mortgage","2014-03-04","2014-03-04",0,1
"Mortgage","2014-03-04","2014-03-05",1,2
"Mortgage","2014-02-27","2014-03-05",6,7
"Mortgage","2014-02-27","2014-03-05",6,7
"Mortgage","2014-02-27","2014-03-05",6,7
"Mortgage","2014-03-12","2014-03-14",2,3
"Debt collection","2014-03-17","2014-03-21",4,5
"Student loan","2014-03-07","2014-03-07",0,1
"Student loan","2014-03-07","2014-03-07",0,1
"Mortgage","2014-02-27","2014-03-05",6,7
"Debt collection","2014-03-21","2014-05-07",47,48
"Consumer Loan","2014-03-12","2014-03-12",0,1
"Credit card","2014-02-27","2014-03-04",5,6
"Mortgage","2014-03-17","2014-03-17",0,1
"Mortgage","2014-03-31","2014-03-31",0,1
"Debt collection","2014-03-25","2014-03-25",0,1
"Mortgage","2014-02-27","2014-03-04",5,6
"Bank account or service","2014-03-07","2014-03-12",5,6
"Mortgage","2014-02-27","2014-03-05",6,7
"Mortgage","2014-03-26","2014-04-01",6,7
